Model,Run,Dupli_effect,KS stats,KS p-value
ADS,Bm1,1.6,0.1583391401792991,0.00033892700096158193
ADS,Bm1,1.86,0.15698410757946207,0.00035210213598702993
ADS,Bm1,2.0,0.15765383048084758,0.000679024815411987
ADS,Bm1,2.25,0.1628392420537897,0.0001973832190910314
ADS,Bm3,1.6,0.08543184596577014,0.07796666567068254
ADS,Bm3,1.86,0.08288946617766907,0.04962384960536134
ADS,Bm3,2.0,0.07938539119804397,0.07641124593643618
ADS,Bm3,2.25,0.07511399755501218,0.10025113614130958
ADS,Bm4,1.6,0.08440943357783208,0.08129549034357035
ADS,Bm4,1.86,0.0806403830480847,0.11024720098180334
ADS,Bm4,2.0,0.07748370008149956,0.11234064857099646
ADS,Bm4,2.25,0.0762460268948655,0.1443704556402005
ADS,Bm8,1.6,0.11943225346373261,0.026657849218505142
ADS,Bm8,1.86,0.11639007742461284,0.040185594190445116
ADS,Bm8,2.0,0.11536297881010592,0.0432824522352126
ADS,Bm8,2.25,0.11903249796251009,0.06375752870531196
Minimal,Bm1,1.6,0.1610985126324368,8.926553701404947e-05
Minimal,Bm1,1.86,0.16274113691931538,0.00019914414919580776
Minimal,Bm1,2.0,0.158706499592502,0.0003406758967592102
Minimal,Bm1,2.25,0.15800478810105947,0.0003545922621906704
Minimal,Bm3,1.6,0.08127190301548488,0.06067056251302804
Minimal,Bm3,1.86,0.08433048084759572,0.04556348513466254
Minimal,Bm3,2.0,0.07714863488182556,0.08906325170051116
Minimal,Bm3,2.25,0.08307273838630802,0.04705410909288208
Minimal,Bm4,1.6,0.08439323553382229,0.0840796787469661
Minimal,Bm4,1.86,0.08267603911980437,0.09347881200011628
Minimal,Bm4,2.0,0.0814598614506927,0.10375988367679861
Minimal,Bm4,2.25,0.07746943765281171,0.11297635736057614
Minimal,Bm8,1.6,0.12365556234718822,0.016268523617005936
Minimal,Bm8,1.86,0.11926202118989399,0.04395175856402974
Minimal,Bm8,2.0,0.11863579869600645,0.045005845392416255
Minimal,Bm8,2.25,0.1125596984515077,0.05870960289414276
Mixed,Bm1,1.6,0.19731805215973916,0.023707106858203555
Mixed,Bm1,1.86,0.19594926650366748,0.03967100785677894
Mixed,Bm1,2.0,0.19821261206193966,0.03957358215558516
Mixed,Bm1,2.25,0.1957604930725346,0.0682701740655974
Mixed,Bm3,1.6,0.20701813365933172,0.0177007635189912
Mixed,Bm3,1.86,0.20856071719641397,0.01912180863719092
Mixed,Bm3,2.0,0.2022485737571312,0.04314674599273391
Mixed,Bm3,2.25,0.20707192339038305,0.04393068408335939
Mixed,Bm4,1.6,0.2069539527302363,0.016800211657891886
Mixed,Bm4,1.86,0.20310279136104317,0.01761912709367937
Mixed,Bm4,2.0,0.20408730643846776,0.025735456744031177
Mixed,Bm4,2.25,0.20399928687856558,0.043043928736038135
Mixed,Bm8,1.6,0.21019784026079866,0.012291232720465705
Mixed,Bm8,1.86,0.20730572534637323,0.023613567681053202
Mixed,Bm8,2.0,0.20626599429502854,0.024749335080643278
Mixed,Bm8,2.25,0.2057363488182559,0.03573079178932237
No Cost,Bm1,1.6,0.1113628769356153,0.04047908188434834
No Cost,Bm1,1.86,0.11046658516707412,0.030678118339096335
No Cost,Bm1,2.0,0.1096580073349633,0.02485217846237096
No Cost,Bm1,2.25,0.11127017114914421,0.015819045780085594
No Cost,Bm3,1.6,0.14720140586797062,0.01764246696366223
No Cost,Bm3,1.86,0.14494121841890786,0.00865591346642976
No Cost,Bm3,2.0,0.14391911165444168,0.008046585524716229
No Cost,Bm3,2.25,0.1432870823145884,0.013795656796100737
No Cost,Bm4,1.6,0.15976405867970658,0.010566373419067748
No Cost,Bm4,1.86,0.154247249388753,0.011893361656602071
No Cost,Bm4,2.0,0.15019091279543598,0.011014295192544531
No Cost,Bm4,2.25,0.1487278932355338,0.007785755677421174
No Cost,Bm8,1.6,0.17927699674001626,0.023742842531888086
No Cost,Bm8,1.86,0.178111043194784,0.012244927665487154
No Cost,Bm8,2.0,0.17831173594132022,0.01658774340001835
No Cost,Bm8,2.25,0.17342237163814178,0.006337600582139758
